P_sat (Pa) at 298.15K, Delta_H (kJ/mol) at 298.15K, SMILES, carbon_number, ASA_carbon_number, aromatic_ring, non_aromatic_ring,double_bound_nonaromatic_ring, nonaromatic_CCCO, hydroxyl, aldehyde, ketone, carboxylic_acid,ester, ether, alicyclic_ether, aromatic_ether, nitrate, nitro, aromatic_hydroxyl, primary_amine,secondary_amine, tertiary_amine, aromatic_amine, primary_amide, secondary_amide, tertiary_amide,carbonylperoxynitrate, peroxide, hydroperoxide, peroxide_acid, nitrophenol, nitroester,log P_sat(T) [atm], Antoine_Eq for logP_sat(T) [atm], Enthalpy of vaporization (kJ/mol)
0.06, 84.04, CCCCCCCC(=O)N, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -4990.83/T + (19.11) + (-0.0*T) + (-1.4*log(T)), -, 95565.35 - (0.04/T**2) - (26.8/T)
-, -, [C-]#[O+], 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -
0.17, 75.47, CCCCCCC(=O)N, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -4433.14/T + (16.67) + (-0.0*T) + (-1.26*log(T)), -, 84886.59 - (0.02/T**2) - (24.16/T)
0.47, 66.9, CCCCCC(=O)N, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -3875.44/T + (14.23) + (-0.0*T) + (-1.12*log(T)), -, 74207.82 - (0.01/T**2) - (21.51/T)
1.34, 58.33, CCCCC(=O)N, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -3317.76/T + (11.78) + (0.0*T) + (-0.99*log(T)), -, 63529.06 - (-0.0/T**2) - (18.87/T)
3.68, 49.76, CCCC(=O)N, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -2760.06/T + (9.34) + (0.0*T) + (-0.85*log(T)), -, 52850.3 - (-0.02/T**2) - (16.23/T)
80.49, 24.05, C(=O)N, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1086.99/T + (2.02) + (0.0*T) + (-0.43*log(T)), -, 20814.01 - (-0.06/T**2) - (8.3/T)
10.37, 41.19, CCC(=O)N, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -2202.38/T + (6.9) + (0.0*T) + (-0.71*log(T)), -, 42171.53 - (-0.03/T**2) - (13.59/T)
28.56, 32.62, CC(=O)N, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1644.68/T + (4.46) + (0.0*T) + (-0.57*log(T)), -, 31492.77 - (-0.05/T**2) - (10.95/T)
0.13, 92.55, CCCCNC(=O)C, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -5125.33/T + (9.41) + (-0.01*T) + (0.61*log(T)), -, 98140.88 - (0.1/T**2) - (-11.74/T)
